InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100015,SKU-BEV-001,Cold Brew Coffee 250ml,4,06/17/2024 19:00,3.68,CUST-1238,Germany
100015,SKU-PER-001,Antibacterial Hand Soap 300ml,8,03/19/2024 04:00,3.65,CUST-1203,United Kingdom
100016,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,5,2024-06-14 18:00:00,4.11,CUST-1021,Canada
C100016,SKU-BEV-002,Organic Green Tea 500ml,-7,11-12-2024 09:00,2.48,CUST-1235,Canada
100016,SKU-DRY-003,Whole Grain Pasta 500g,9,2024/07/03,2.25,CUST-1142,United Kingdom
C100017,SKU-PER-001,Antibacterial Hand Soap 300ml,-6,15-09-2024 17:00,3.84,CUST-1450,Germany
100017,SKU-DRY-003,Whole Grain Pasta 500g,8,2024-05-10 10:00:00,2.23,CUST-1229,United States
100017,SKU-DRY-001,Basmati Long Grain Rice 5kg,8,15-06-2024 02:00,13.2,CUST-1180,Germany
100018,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,8,03/23/2024 08:00,3.39,CUST-1141,Australia
100018,SKU-BEV-002,Organic Green Tea 500ml,3,12-05-2024 12:00,2.13,CUST-1283,United Kingdom
100018,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,4,2024-12-01 02:00:00,4.94,,Canada
100019,SKU-BEV-002,Organic Green Tea 500ml,3,2024/09/30,2.16,CUST-1127,Canada
100019,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,4,2024/06/03,5.53,CUST-1312,United States
100019,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,3,24-05-2024 01:00,2.7,CUST-1304,United States
100020,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,8,2024/07/12,3.62,CUST-1101,Australia
100020,SKU-BEV-003,Sparkling Mineral Water 1L,3,06/30/2024 08:00,1.69,CUST-1063,Germany
100020,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,4,2024/12/07,6.13,,France
100021,SKU-PER-001,Antibacterial Hand Soap 300ml,3,15-01-2024 03:00,3.84,CUST-1299,Canada
100021,SKU-DRY-002,Extra Virgin Olive Oil 750ml,5,2024/08/25,16.06,CUST-1483,Australia
100021,SKU-BEV-002,Organic Green Tea 500ml,7,02-08-2024 17:00,2.42,CUST-1277,United States
100022,SKU-SNK-003,Dark Chocolate 70% Bar 100g,2,2024/12/06,3.34,CUST-1062,France
100022,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,2,18-04-2024 02:00,2.63,CUST-1060,United Kingdom
100022,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,4,18-07-2024 05:00,3.86,CUST-1306,United Kingdom
100023,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,4,10-10-2024 06:00,6.02,CUST-1337,United Kingdom
100023,SKU-DRY-002,Extra Virgin Olive Oil 750ml,5,23-08-2024 14:00,14.31,CUST-1292,Canada
100023,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,6,2024/11/18,4.26,,Australia
100024,SKU-BEV-002,Organic Green Tea 500ml,3,2024-10-27 13:00:00,2.66,CUST-1240,Germany
100024,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,9,2024-09-28 08:00:00,4.31,CUST-1388,Australia
100024,SKU-BEV-002,Organic Green Tea 500ml,4,09-06-2024 06:00,2.44,CUST-1227,Germany
100025,SKU-BEV-001,Cold Brew Coffee 250ml,2,2024-08-09 10:00:00,3.57,CUST-1087,Australia
100025,SKU-PER-001,Antibacterial Hand Soap 300ml,3,2024/06/13,4.2,,Germany
100025,SKU-BEV-003,Sparkling Mineral Water 1L,3,2024/02/20,1.68,CUST-1154,Canada
100026,SKU-BEV-002,,5,2024/06/10,2.86,CUST-1140,France
100026,SKU-BEV-001,Cold Brew Coffee 250ml,7,05-12-2024 02:00,4.35,CUST-1386,France
100026,SKU-BEV-003,Sparkling Mineral Water 1L,8,2024-03-07 07:00:00,1.83,CUST-1382,United Kingdom
100027,SKU-DRY-003,Whole Grain Pasta 500g,7,06-09-2024 18:00,2.4,CUST-1173,Canada
100027,SKU-BEV-003,Sparkling Mineral Water 1L,3,2024/06/03,1.72,CUST-1232,France
100027,SKU-PER-001,Antibacterial Hand Soap 300ml,6,17-09-2024 02:00,3.64,CUST-1113,France
100028,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,6,2024/07/25,4.12,CUST-1275,Canada
100028,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,5,10/13/2024 02:00,4.28,CUST-1353,Canada
100028,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,5,2024-09-04 14:00:00,3.35,CUST-1495,Canada
100029,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,4,2024-01-15 13:00:00,2.65,CUST-1106,United Kingdom
100029,SKU-BEV-003,Sparkling Mineral Water 1L,3,02-01-2024 22:00,1.59,CUST-1013,Germany
100029,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,4,2024-08-09 00:00:00,3.21,CUST-1398,Australia
100030,SKU-DRY-003,Whole Grain Pasta 500g,9,2024-05-31 05:00:00,2.29,,Canada
100030,SKU-BEV-002,Organic Green Tea 500ml,6,2024/11/30,2.57,CUST-1280,Canada
100030,SKU-DRY-003,Whole Grain Pasta 500g,1,2024/07/20,2.38,CUST-1282,United Kingdom
100031,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,3,2024/06/04,4.67,CUST-1191,France
100031,SKU-BEV-002,Organic Green Tea 500ml,6,2024-03-03 06:00:00,2.67,CUST-1287,France
100031,SKU-SNK-003,Dark Chocolate 70% Bar 100g,5,2024-10-15 17:00:00,3.14,CUST-1114,Germany
100032,SKU-SNK-003,Dark Chocolate 70% Bar 100g,6,19-03-2024 10:00,3.63,CUST-1329,Australia
100032,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,10,2024-07-01 13:00:00,6.13,CUST-1289,United States
100032,SKU-PER-002,Moisturizing Face Cleanser 150ml,7,2024-01-21 22:00:00,9.75,CUST-1397,Australia
100033,SKU-BEV-001,Cold Brew Coffee 250ml,4,04/16/2024 05:00,3.49,CUST-1212,Australia
100033,SKU-DRY-001,,8,16-03-2024 16:00,13.09,CUST-1028,Germany
100033,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,9,03-04-2024 16:00,4.99,CUST-1117,France
100034,SKU-BEV-002,Organic Green Tea 500ml,2,2024-09-28 01:00:00,2.17,CUST-1327,United States
100034,SKU-SNK-003,Dark Chocolate 70% Bar 100g,9,2024/04/27,2.88,CUST-1268,Germany
100034,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,3,08/15/2024 08:00,3.02,CUST-1490,United Kingdom
100035,SKU-BEV-003,Sparkling Mineral Water 1L,11,06/23/2024 17:00,1.93,CUST-1237,Australia
100035,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,7,08-08-2024 15:00,4.71,,Germany
100035,SKU-BEV-001,Cold Brew Coffee 250ml,9,08-02-2024 20:00,4.43,CUST-1236,France
100036,SKU-DRY-002,Extra Virgin Olive Oil 750ml,2,08-05-2024 12:00,16.49,CUST-1365,France
100036,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,5,2024/10/25,2.87,CUST-1347,France
100036,SKU-BEV-002,Organic Green Tea 500ml,1,2024-08-13 01:00:00,2.3,CUST-1076,Australia
100037,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,6,26-08-2024 19:00,4.63,CUST-1192,Germany
100037,SKU-PER-002,Moisturizing Face Cleanser 150ml,7,2024-12-25 08:00:00,9.58,CUST-1485,United Kingdom
100037,SKU-BEV-003,Sparkling Mineral Water 1L,7,2024-04-15 18:00:00,1.79,CUST-1338,Australia
100038,SKU-DRY-001,Basmati Long Grain Rice 5kg,3,04/15/2024 07:00,13.48,,France
100038,SKU-DRY-002,Extra Virgin Olive Oil 750ml,2,2024/07/13,16.53,CUST-1347,Canada
100038,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,3,2024/09/17,5.99,CUST-1447,United States
100039,SKU-DRY-003,Whole Grain Pasta 500g,5,26-03-2024 02:00,2.16,CUST-1466,Canada
100039,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,3,2024/01/19,4.41,,France
100039,SKU-HOU-002,,3,04/09/2024 16:00,4.95,CUST-1315,United States
100040,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,2,2024/04/12,2.81,CUST-1234,Canada
100040,SKU-BEV-001,Cold Brew Coffee 250ml,4,12/17/2024 19:00,3.39,CUST-1342,Germany
100040,SKU-DRY-003,Whole Grain Pasta 500g,4,2024-12-12 08:00:00,2.28,,Germany
100041,SKU-PER-002,Moisturizing Face Cleanser 150ml,4,11-03-2024 18:00,9.51,CUST-1356,United Kingdom
100041,SKU-BEV-002,Organic Green Tea 500ml,5,2024-11-08 10:00:00,2.27,CUST-1417,Germany
100041,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,10-05-2024 11:00,11.09,CUST-1455,Canada
100042,SKU-DRY-001,Basmati Long Grain Rice 5kg,2,08/19/2024 10:00,14.64,CUST-1040,United Kingdom
100042,SKU-SNK-003,Dark Chocolate 70% Bar 100g,6,2024-03-11 00:00:00,3.24,CUST-1228,Germany
100042,SKU-DRY-001,Basmati Long Grain Rice 5kg,4,2024-07-06 10:00:00,12.46,CUST-1073,France
100043,SKU-BEV-001,Cold Brew Coffee 250ml,2,2024-03-27 04:00:00,3.82,CUST-1230,Germany
100043,SKU-BEV-002,Organic Green Tea 500ml,3,03-04-2024 23:00,2.3,CUST-1198,United States
100043,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,6,10/31/2024 15:00,6.18,CUST-1231,France
100044,SKU-BEV-002,Organic Green Tea 500ml,5,06-08-2024 04:00,2.33,CUST-1358,Germany
100044,SKU-BEV-002,Organic Green Tea 500ml,5,05/17/2024 04:00,2.39,CUST-1066,United States
100044,SKU-DRY-001,Basmati Long Grain Rice 5kg,4,2024/11/22,11.33,CUST-1348,United Kingdom
100045,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,3,05/04/2024 05:00,4.32,CUST-1165,United Kingdom
100045,SKU-DRY-003,Whole Grain Pasta 500g,3,2024-07-12 21:00:00,2.22,CUST-1257,Australia
100045,SKU-BEV-003,Sparkling Mineral Water 1L,4,26-04-2024 20:00,1.96,CUST-1295,United Kingdom
100046,SKU-DRY-001,Basmati Long Grain Rice 5kg,7,2024/01/21,13.54,CUST-1207,United States
100046,SKU-BEV-003,Sparkling Mineral Water 1L,6,2024/10/27,1.85,CUST-1440,Canada
100046,SKU-SNK-003,Dark Chocolate 70% Bar 100g,5,2024-12-17 13:00:00,3.06,CUST-1196,Canada
100047,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,3,19-04-2024 00:00,5.9,CUST-1450,United States
100047,SKU-DRY-001,Basmati Long Grain Rice 5kg,4,2024/12/11,12.42,CUST-1334,Germany
100047,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,3,2024/03/14,6.24,,Germany
100048,SKU-BEV-002,Organic Green Tea 500ml,2,2024/09/20,2.86,CUST-1201,Germany
100048,SKU-SNK-003,Dark Chocolate 70% Bar 100g,8,04/08/2024 11:00,2.84,CUST-1265,Australia
100048,SKU-BEV-003,Sparkling Mineral Water 1L,6,11-08-2024 21:00,1.92,CUST-1272,Australia
100049,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,4,12-01-2024 08:00,6.34,CUST-1322,Canada
100049,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,2024-06-04 08:00:00,10.38,CUST-1348,Australia
100049,SKU-BEV-002,Organic Green Tea 500ml,4,2024-05-10 05:00:00,2.42,CUST-1241,France
100050,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,7,04/04/2024 06:00,3.86,CUST-1272,Germany
100050,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,5,2024/06/29,6.61,CUST-1147,France
100050,SKU-SNK-003,Dark Chocolate 70% Bar 100g,6,23-11-2024 13:00,3.51,CUST-1458,Germany
100051,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,6,09-04-2024 23:00,4.36,CUST-1109,Australia
100051,SKU-DRY-003,Whole Grain Pasta 500g,5,07/04/2024 10:00,2.02,CUST-1119,Canada
C100051,SKU-DRY-002,Extra Virgin Olive Oil 750ml,-3,03/09/2024 15:00,16.37,CUST-1244,Germany
100052,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,2024-02-10 09:00:00,10.71,CUST-1213,United Kingdom
100052,SKU-BEV-001,Cold Brew Coffee 250ml,5,2024/09/28,4.44,CUST-1308,Germany
100052,SKU-PER-002,Moisturizing Face Cleanser 150ml,7,2024/12/23,10.0,CUST-1374,Germany
100053,SKU-BEV-001,Cold Brew Coffee 250ml,5,18-08-2024 03:00,3.6,CUST-1263,Canada
100053,SKU-BEV-003,Sparkling Mineral Water 1L,6,2024/04/05,1.66,CUST-1154,Australia
100053,SKU-PER-002,Moisturizing Face Cleanser 150ml,1,09/02/2024 10:00,9.41,CUST-1360,France
100054,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,9,20-07-2024 09:00,4.26,CUST-1212,Canada
100054,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,6,05/29/2024 02:00,5.42,CUST-1469,United States
100054,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,8,12/11/2024 01:00,4.54,CUST-1298,Australia
100055,SKU-BEV-001,Cold Brew Coffee 250ml,3,11/05/2024 13:00,3.46,CUST-1202,United States
100055,SKU-PER-001,Antibacterial Hand Soap 300ml,1,2024-02-19 20:00:00,4.3,CUST-1241,Canada
100055,SKU-BEV-003,Sparkling Mineral Water 1L,6,13-10-2024 23:00,1.99,CUST-1338,United Kingdom
100056,SKU-SNK-003,Dark Chocolate 70% Bar 100g,5,03/21/2024 23:00,2.92,CUST-1500,France
100056,SKU-DRY-001,Basmati Long Grain Rice 5kg,5,2024/12/29,12.39,CUST-1057,France
100056,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,3,01/11/2024 16:00,4.29,,Canada
100057,SKU-DRY-003,Whole Grain Pasta 500g,4,2024-05-28 07:00:00,2.02,CUST-1395,Germany
100057,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,4,04/07/2024 19:00,4.87,CUST-1347,Canada
100057,SKU-SNK-003,Dark Chocolate 70% Bar 100g,4,17-09-2024 04:00,3.09,CUST-1115,France
100058,SKU-DRY-002,Extra Virgin Olive Oil 750ml,4,2024/02/09,12.91,CUST-1472,Germany
100058,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,3,2024-05-10 00:00:00,4.01,CUST-1370,United Kingdom
100058,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,6,15-08-2024 07:00,7.35,CUST-1245,France
100059,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,5,09/27/2024 18:00,2.88,CUST-1262,Canada
100059,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,4,16-11-2024 12:00,3.79,CUST-1133,Australia
100059,SKU-DRY-001,Basmati Long Grain Rice 5kg,4,07/20/2024 12:00,13.26,CUST-1172,Canada
100060,SKU-PER-002,Moisturizing Face Cleanser 150ml,4,2024/11/30,9.0,CUST-1277,United States
100060,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,3,2024-02-20 17:00:00,7.17,,Germany
C100060,SKU-PER-002,,-3,2024/11/25,9.72,CUST-1146,France
100061,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,7,2024-05-02 09:00:00,4.6,CUST-1407,Germany
100061,SKU-DRY-002,Extra Virgin Olive Oil 750ml,3,06/15/2024 00:00,12.68,,Canada
100061,SKU-BEV-001,Cold Brew Coffee 250ml,2,01/07/2024 10:00,4.16,CUST-1458,United States
100062,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,2,20-11-2024 14:00,5.4,,Germany
100062,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,6,2024/04/08,3.05,CUST-1276,France
100062,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,5,23-02-2024 12:00,4.29,CUST-1203,Germany
100063,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,6,2024/11/03,5.28,CUST-1395,United Kingdom
100063,SKU-BEV-002,Organic Green Tea 500ml,6,07/01/2024 22:00,2.23,CUST-1482,Germany
100063,SKU-BEV-002,Organic Green Tea 500ml,5,2024-03-31 10:00:00,2.53,CUST-1047,Germany
100064,SKU-BEV-001,Cold Brew Coffee 250ml,6,2024/07/18,4.47,CUST-1086,United Kingdom
100064,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,4,2024/07/02,5.12,CUST-1483,France
100064,SKU-PER-001,Antibacterial Hand Soap 300ml,5,2024/05/13,4.82,CUST-1168,Canada
100065,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,7,02-04-2024 22:00,5.92,CUST-1149,France
100065,SKU-PER-001,Antibacterial Hand Soap 300ml,5,14-06-2024 11:00,4.11,CUST-1279,Australia
100065,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,3,11/11/2024 03:00,4.12,CUST-1255,Germany
100066,SKU-PER-002,Moisturizing Face Cleanser 150ml,4,2024/04/15,11.46,CUST-1471,Canada
100066,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,6,2024-09-02 10:00:00,5.24,CUST-1330,Canada
C100066,SKU-SNK-003,Dark Chocolate 70% Bar 100g,-4,2024-10-20 20:00:00,3.3,CUST-1228,Canada
100067,SKU-PER-001,Antibacterial Hand Soap 300ml,3,12/07/2024 15:00,3.75,CUST-1481,Germany
100067,SKU-DRY-002,Extra Virgin Olive Oil 750ml,5,2024/05/21,15.47,,United States
100067,SKU-PER-002,Moisturizing Face Cleanser 150ml,5,03/15/2024 15:00,10.04,CUST-1236,Canada
C100068,SKU-BEV-003,Sparkling Mineral Water 1L,-6,2024/10/22,1.63,CUST-1105,France
100068,SKU-BEV-002,Organic Green Tea 500ml,4,03/10/2024 11:00,2.2,CUST-1160,Australia
100068,SKU-BEV-002,Organic Green Tea 500ml,8,25-08-2024 12:00,2.72,CUST-1043,Germany
100069,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,5,03/20/2024 20:00,5.31,CUST-1249,France
100069,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,6,04/28/2024 06:00,4.52,CUST-1004,United Kingdom
100069,SKU-DRY-003,Whole Grain Pasta 500g,3,2024/12/11,2.33,CUST-1407,Germany
100070,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,10,07/16/2024 01:00,3.23,CUST-1137,Germany
100070,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,3,2024/01/29,4.39,CUST-1016,Germany
100070,SKU-BEV-002,Organic Green Tea 500ml,2,2024-10-26 17:00:00,2.72,CUST-1323,Australia
100071,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,4,2024-05-21 06:00:00,3.08,CUST-1293,Australia
100071,SKU-PER-002,Moisturizing Face Cleanser 150ml,7,03/06/2024 00:00,11.25,CUST-1443,United Kingdom
100071,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,2,2024/06/17,6.05,CUST-1450,Canada
100072,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,3,2024/09/08,4.67,CUST-1234,France
100072,SKU-BEV-002,Organic Green Tea 500ml,9,2024/12/30,2.27,CUST-1295,Canada
100072,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,8,2024-02-03 01:00:00,4.73,CUST-1000,Canada
100073,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,4,31-03-2024 01:00,3.63,CUST-1462,United States
100073,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,2,2024/06/08,4.67,CUST-1348,United States
100073,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,7,2024/03/23,5.97,CUST-1188,United Kingdom
100074,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,5,03/31/2024 21:00,6.72,CUST-1383,Canada
100074,SKU-DRY-002,Extra Virgin Olive Oil 750ml,6,2024-05-28 07:00:00,12.86,CUST-1405,Germany
100074,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,4,2024-07-13 12:00:00,2.81,CUST-1151,United Kingdom
100075,SKU-BEV-002,Organic Green Tea 500ml,4,2024/06/13,2.78,CUST-1198,Australia
100075,SKU-DRY-003,Whole Grain Pasta 500g,6,2024/04/27,1.87,,Canada
100075,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,2024/12/08,10.41,CUST-1040,United Kingdom
100076,SKU-BEV-003,Sparkling Mineral Water 1L,5,2024/08/11,1.87,CUST-1488,United States
100076,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,7,2024-10-23 14:00:00,4.52,CUST-1362,United States
100076,SKU-SNK-003,Dark Chocolate 70% Bar 100g,4,23-12-2024 00:00,3.57,CUST-1015,Canada
100077,SKU-BEV-002,Organic Green Tea 500ml,5,2024-06-28 12:00:00,2.16,CUST-1395,Australia
100077,SKU-BEV-002,Organic Green Tea 500ml,3,2024-06-04 22:00:00,2.3,CUST-1476,United States
100077,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,8,10/13/2024 06:00,5.11,CUST-1257,United States
100078,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,11,2024-12-18 02:00:00,4.94,CUST-1283,Germany
100078,  SKU-PER-001  ,Antibacterial Hand Soap 300ml,5,07/26/2024 11:00,4.24,CUST-1389,United Kingdom
100078,SKU-DRY-001,Basmati Long Grain Rice 5kg,5,01/17/2024 07:00,0.0,CUST-1388,France
100079,SKU-BEV-002,Organic Green Tea 500ml,4,05/20/2024 01:00,2.84,,Australia
100079,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,6,2024/09/11,4.21,,Canada
100079,SKU-BEV-003,Sparkling Mineral Water 1L,6,10-06-2024 15:00,1.95,CUST-1139,United Kingdom
100080,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,6,03/15/2024 09:00,4.71,CUST-1231,Germany
100080,SKU-BEV-002,Organic Green Tea 500ml,3,17-04-2024 14:00,2.15,CUST-1127,Canada
100080,SKU-PER-002,Moisturizing Face Cleanser 150ml,3,23-07-2024 00:00,11.34,CUST-1048,United Kingdom
100081,SKU-BEV-001,Cold Brew Coffee 250ml,6,05/31/2024 17:00,4.21,CUST-1469,United States
